"GreatPast,GreatFuture",Zoo/Aquarium,artMuseum,natural history museum,science and technology center,park,public library,live music,sporting event,lecture or talk about science,PoliticsInterest,CommunityInterest,SportsNewsInterest,BusinessInterest,ScienceNewsInterest,EntertainmentNewsInterest,HowOftenScienceNews,HowGetScienceNews,HealthMedInterest,TechInterest,EnvironmentInterest,NutritionInterest,AstromonyInterest,EvolutionInterest,BrainInterest,SciKnowledge,AltMethodsSci,RateNewsMediaScience,UseSocialMedia,WatchCrime,WatchMedical,WatchSciFi,Hobbies,ABCNews,CBSNews,NBCNews,BizInsider,Vox,IJR,PBS,Politico,LATimes,PoliticalViews,Language,Parent of 0-17 year olds,Occupation,ReligiousEvents,OwnSmartPhone,ComputerOwner,Age,Education,Race,Gender,HOH,HHSize,HousingType,Income,MaritalStatus,EmploymentStatus,Age,Children0-1,Children2-5,Children6-12,Children13-17,Adults18+
2,0,1,1,1,1,1,0,0,0,2,2,2,-1,2,2,3,2,1,1,0,0,0,0,0,2,1,4,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,3,4,4,1,1,1,2,1,16,1,1,64,0,0,0,0,2
1,1,1,0,1,0,1,0,0,0,4,1,3,4,2,4,4,2,0,0,0,0,0,0,0,3,2,4,2,4,4,4,2,0,0,0,0,0,0,0,0,0,2,1,1,12,4,1,1,2,4,2,2,1,5,3,19,1,1,32,0,1,1,1,2
1,0,0,0,0,0,0,1,0,0,2,2,1,2,1,2,1,2,0,1,1,0,1,1,1,2,2,1,1,1,3,4,2,0,0,1,0,0,0,0,0,0,3,2,2,-2,6,1,1,3,2,4,1,0,4,2,12,3,5,58,0,0,1,1,2
2,1,0,0,0,1,0,0,0,0,3,3,2,3,2,2,4,1,1,0,0,1,0,0,0,3,2,2,2,2,4,2,2,0,0,0,0,0,0,0,0,0,1,2,2,15,6,1,6,3,1,4,1,1,1,1,12,1,1,46,0,0,0,0,1
1,1,0,0,0,0,1,1,0,0,3,2,3,1,1,2,2,2,1,1,1,1,1,0,1,1,2,2,1,2,2,2,2,1,0,1,0,0,0,0,0,0,1,1,1,10,2,1,3,2,3,1,1,1,3,1,21,1,2,34,1,0,0,0,2
1,0,0,1,1,1,0,1,1,0,2,3,4,3,2,3,2,2,1,1,1,1,1,1,1,3,2,3,1,3,4,1,2,0,0,0,0,0,0,1,0,0,3,1,2,-2,6,1,2,1,3,5,1,1,4,1,18,5,4,23,0,0,0,0,4
2,1,1,1,0,1,1,1,1,1,1,2,2,1,2,1,3,2,0,0,0,1,0,0,1,2,2,2,1,3,3,2,2,0,0,0,0,0,0,0,0,0,1,1,2,7,2,1,2,1,4,1,2,1,1,3,19,5,1,26,0,0,0,0,1
1,0,1,0,0,1,0,1,0,0,1,1,4,2,1,2,1,2,1,1,1,1,1,1,1,2,1,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,4,1,2,10,6,1,3,1,4,5,2,1,2,3,16,1,2,29,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,1,1,3,1,2,2,3,1,1,0,1,1,0,0,1,3,2,2,2,1,2,4,2,1,1,1,0,0,0,0,0,0,3,1,2,-2,5,2,2,4,2,1,2,1,1,1,7,2,5,68,0,0,0,0,1
1,1,1,1,1,1,0,1,0,0,2,2,3,4,1,1,3,2,1,1,0,1,0,1,1,1,2,1,1,1,4,4,2,1,1,0,0,0,0,1,0,0,1,1,2,9,6,4,6,1,4,1,2,0,1,3,10,5,1,26,0,0,0,0,1
2,1,1,1,1,1,0,1,1,1,1,1,3,1,3,2,3,1,1,1,0,1,0,0,0,2,2,3,1,3,2,2,2,0,0,0,0,0,0,1,0,0,1,1,2,4,6,1,3,3,4,1,1,1,2,1,18,1,1,55,0,0,0,0,2
2,0,0,0,0,1,1,0,0,0,2,2,4,2,2,3,3,2,1,1,1,1,0,0,1,2,2,2,1,3,3,3,2,0,0,0,0,0,0,0,0,0,3,1,2,8,6,1,1,3,4,1,2,1,5,1,19,1,1,47,0,0,0,0,5
2,0,0,0,0,0,0,0,0,0,4,2,2,3,4,2,4,2,0,0,0,0,0,0,0,3,2,2,2,4,4,3,2,0,0,0,0,0,0,0,0,0,3,1,1,16,5,3,5,3,2,1,2,1,3,1,2,3,1,51,0,0,1,0,2
2,0,0,1,1,1,1,1,1,0,1,1,4,2,1,3,2,2,1,1,1,1,1,1,1,2,2,4,1,3,3,3,2,1,0,1,0,0,0,0,1,1,2,1,2,10,4,1,2,2,4,1,2,1,1,3,12,5,1,33,0,0,0,0,1
2,0,1,0,0,1,1,1,0,0,1,1,4,1,1,2,2,2,1,1,1,1,1,1,1,1,2,4,1,2,3,3,1,1,1,1,1,1,0,1,1,1,2,1,2,9,5,1,2,2,2,5,2,1,1,3,10,5,1,30,0,0,0,0,1
2,0,0,0,0,0,1,0,0,0,3,3,4,3,3,3,4,1,1,1,1,1,1,1,1,4,2,3,1,1,4,4,2,0,0,0,0,0,0,0,0,0,3,1,1,-2,5,1,3,2,1,1,2,1,3,5,21,1,6,38,0,0,0,0,3
2,0,1,0,0,0,0,0,0,0,2,2,3,2,2,1,4,1,1,1,0,1,0,0,1,2,2,2,1,3,3,3,1,0,0,0,0,0,0,0,0,0,4,1,2,22,1,2,2,3,2,1,2,1,1,2,8,3,1,51,0,0,0,0,1
1,1,0,0,1,0,0,1,0,1,1,1,2,2,2,3,1,1,1,1,1,1,0,1,1,2,1,2,1,1,2,3,2,0,0,1,0,0,0,0,1,0,2,2,1,16,4,1,2,1,3,4,2,0,5,2,5,1,1,29,1,0,1,0,3
2,0,0,0,0,0,0,1,0,1,2,2,4,2,1,4,1,2,1,1,1,0,1,1,1,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,-2,5,1,3,4,4,1,1,1,1,4,1,3,5,61,0,0,0,0,1
